Simulation,LL_Null,LL_Alternative,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative
172,646.053898350042,649.108689494766,6.10958228944878,0.0295774647887324,0.0211267605633803,0.0169014084507042,0.0528342032566561,0.0312945902155849,2,2
173,632.193009525833,632.846281096788,1.30654314190951,0.0267605633802817,0.0295774647887324,0.00845070422535212,0.0260217876016645,0.0285132993057227,2,2
174,598.717209451401,599.225871427127,1.01732395145223,0.0352112676056338,0.0323943661971831,0.00563380281690141,0.0320925402587445,0.030722554016189,2,2
175,635.826840444504,636.803487988775,1.95329508854161,0.0352112676056338,0.0380281690140845,0.00563380281690141,0.0298448015857105,0.0288459216287127,2,2
176,619.575006046154,621.251554642052,3.35309719179531,0.0183098591549296,0.0352112676056338,0.0225352112676056,0.0363209904209197,0.0425867077848772,2,2
177,621.364516244881,623.566747964583,4.40446343940243,0.0352112676056338,0.023943661971831,0.0169014084507042,0.0368337852677226,0.0315040448388484,2,2
178,678.472973322931,680.882916892597,4.81988713933333,0.0408450704225352,0.0295774647887324,0.0112676056338028,0.0446501535075754,0.0335590512077912,2,2
179,645.049620074049,645.104222661518,0.10920517493696,0.0323943661971831,0.0436619718309859,0.0112676056338028,0.048812748936347,0.0508292104162514,2,2
180,624.951944311605,625.416005026335,0.928121429461044,0.023943661971831,0.023943661971831,0.00563380281690141,0.0254606180818481,0.028152875138581,1,2
181,622.769162796148,624.185650658071,2.83297572384618,0.0295774647887324,0.023943661971831,0.0112676056338028,0.0418903690176367,0.0304967860566749,2,2
182,629.337519608902,629.396754438339,0.118469658875028,0.023943661971831,0.0295774647887324,0.00563380281690141,0.028820793172381,0.0297154937630901,1,2
183,613.44850396994,613.608815995056,0.320624050232709,0.023943661971831,0.023943661971831,0.00845070422535212,0.0299923743592021,0.0267850667196159,2,2
